Windows Process Scan Log
Scan Time: 2026-06-17 11:03:16.585399
======================================================================

PID:25016  | SystemSettings.exe        | stopped      | 2.95      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:25356  | msedgewebview2.exe        | running      | 81.56     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:25424  | powershell.exe            | running      | 72.77     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:25548  | svchost.exe               | running      | 37.12     MB | N/A
PID:25704  | msedgewebview2.exe        | running      | 5.70      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:25844  | msedgewebview2.exe        | running      | 293.91    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:26044  | RuntimeBroker.exe         | running      | 13.49     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:26092  | msedge.exe                | running      | 47.14     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:26796  | Code.exe                  | running      | 151.41    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:26804  | StartMenuExperienceHost.exe | running      | 149.32    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:27004  | RuntimeBroker.exe         | running      | 30.70     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:27088  | chrome.exe                | running      | 66.37     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:27456  | msedgewebview2.exe        | running      | 23.38     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:27508  | CrossDeviceService.exe    | running      | 90.11     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:27572  | msedgewebview2.exe        | running      | 42.63     MB | LAPTOP-8I6CI9I2\BHUKAILASH

Scan complete!
