Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:8984 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID:9016 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:9096 | NgcIso.exe | Trusted | C:\Windows\System32\NgcIso.exe
PID:9156 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:9284 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:9432 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:9520 | RtkAudUService64.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_9873da36e3c839c5\RtkAudUService64.exe
PID:9792 | fontdrvhost.exe | Trusted | C:\Windows\System32\fontdrvhost.exe
PID:9936 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:10072 | NisSrv.exe | Unknown | C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\NisSrv.exe
PID:10416 | WhatsApp.Root.exe | Trusted | C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2620.102.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe
PID:10616 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:10632 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:10636 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:10888 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:11272 | splunk-supervisor.exe | Trusted | C:\Program Files\Splunk\bin\splunk-supervisor.exe
PID:11344 | RuntimeBroker.exe | Trusted | C:\Windows\System32\RuntimeBroker.exe
PID:11404 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:11956 | promecefpluginhost.exe | Unknown | C:\Users\BHUKAILASH\AppData\Local\Kingsoft\WPS Office\12.1.0.26880\office6\promecefpluginhost.exe
PID:11960 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:12240 | unsecapp.exe | Trusted | C:\Windows\System32\wbem\unsecapp.exe
PID:12256 | TextInputHost.exe | Trusted | C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
